path,frame,compensation,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,1,False,980.2707,321.90277,-637.8722,1001.2071,298.31467,-570.7434,1012.57666,298.70868,-570.9662,1021.52344,299.60635,-571.14874,961.74554,299.78088,-579.30255,950.58,301.3233,-579.4276,941.09576,303.37564,-579.5882,1041.4277,315.71786,-269.62177,916.978,326.05743,-309.77908,1005.3692,361.0713,-532.01105,958.5856,362.8484,-544.0118,1112.0637,496.60635,-112.45462,828.2927,482.76605,-210.74493,1150.7238,683.3166,-301.14767,776.76855,679.95483,-407.00015,1155.4019,840.89703,-659.1344,804.3028,784.03766,-800.56226,1171.5802,889.42175,-750.18524,790.8174,822.63153,-903.3662,1140.7734,885.087,-799.71674,813.6752,809.4093,-946.71454,1124.1676,868.23596,-688.02216,826.5433,798.6624,-825.669,1038.1915,725.48596,9.707935,873.0352,728.7507,-9.347374,1125.8818,529.2757,-465.85132,821.5815,697.8572,-551.8798,1074.8755,756.5544,-582.50775,860.2573,789.2495,-428.08875,1038.4785,811.7527,-608.8822,868.9566,822.7685,-425.5667,1129.2717,765.22095,-821.678,874.07263,790.2975,-602.0454
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,2,False,980.18304,322.42087,-576.3384,1000.7839,298.30203,-499.9569,1011.9286,298.70166,-500.33987,1021.06647,299.60663,-500.5639,961.0322,299.7666,-499.80075,949.44165,301.32855,-499.9692,939.7547,303.4,-500.13702,1041.0803,315.76605,-179.87906,916.8085,324.86407,-172.78503,1004.4031,361.06992,-466.5009,957.48737,362.91345,-465.6758,1114.5471,496.41962,-41.231953,827.7817,484.40454,-65.55561,1166.225,682.56104,-318.7362,771.00824,679.999,-296.57513,1178.6532,840.9156,-828.2994,789.2521,799.4892,-727.75793,1198.8982,887.5753,-952.5314,777.35156,837.2935,-835.09845,1166.8767,882.3152,-990.2965,800.4516,820.4813,-875.89294,1147.4203,866.42615,-857.96686,813.4126,809.56726,-753.6155,1042.2109,744.6894,-1.4406142,875.64526,757.607,1.9963226,1131.5802,618.79614,-448.85422,854.16473,810.95575,-274.68372,1066.2563,800.2909,-468.26123,857.2793,911.4188,-230.06758,1032.4459,847.70123,-492.89044,863.1687,950.05493,-247.11397,1088.1865,831.0138,-737.9199,864.15204,927.50854,-506.8821
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,3,False,979.45184,322.8938,-494.81754,999.685,298.3115,-419.45126,1010.53424,298.71362,-419.83456,1019.8803,299.61813,-420.06555,959.1117,299.7677,-417.2393,947.13556,301.33926,-417.46918,937.14996,303.41275,-417.6158,1039.9615,315.7742,-112.935616,916.2165,323.92352,-99.23269,1003.20605,360.9931,-390.1731,955.4995,362.95023,-387.39752,1116.7365,497.6399,-12.316361,826.99493,486.24026,4.488634,1172.2671,680.6276,-354.6892,767.52185,680.20233,-286.6081,1193.6412,832.19403,-964.5974,790.33563,798.86865,-786.9806,1220.964,871.6762,-1100.6766,778.5468,833.51984,-902.10596,1189.1973,862.57574,-1118.6459,801.93463,809.1076,-909.39496,1165.3088,847.76953,-987.5724,814.92883,798.3817,-803.0811,1044.8373,766.9027,-11.128007,876.73334,775.1435,11.813447,1147.4917,687.0167,-673.0499,855.2523,844.0198,-381.40237,1057.0922,862.39954,-499.66534,852.42163,936.3252,-144.81256,1021.2773,897.638,-507.4644,856.9105,964.2559,-143.03336,1066.3529,924.56305,-768.0393,859.32275,975.1856,-445.0989
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,4,False,978.80115,323.32083,-288.78116,999.1996,298.38647,-218.54726,1009.9704,298.80426,-218.8708,1019.4775,299.73172,-219.14058,958.07104,299.76978,-215.37285,945.966,301.34772,-215.55005,935.9071,303.4212,-215.67317,1039.0576,315.68332,56.550346,915.8575,323.04855,73.068115,1002.6495,360.83517,-194.8107,954.1842,362.89746,-191.34204,1116.9929,497.71298,125.10284,826.3136,487.4132,151.2127,1175.0684,677.541,-184.15002,764.5504,681.9529,-127.19035,1194.76,824.09656,-826.31415,789.50024,794.6519,-659.16284,1218.8976,861.8134,-926.1417,778.9474,826.2117,-763.7666,1188.9895,848.64233,-976.81836,799.3735,786.1733,-772.18146,1167.2229,835.0293,-868.88806,807.73785,771.61804,-672.4465,1048.3809,779.5785,-12.186576,879.54175,786.6963,12.9036875,1146.5314,713.659,-622.8818,855.32355,882.49396,-4.8768363,1069.6962,892.7345,-309.46786,853.84625,970.85376,574.7258,1037.783,923.81964,-291.107,857.0137,984.74225,615.2184,1081.6957,965.6077,-583.087,861.76526,1038.0243,348.6575
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,5,False,978.2007,323.40253,-187.49016,998.74774,298.37817,-120.181145,1009.566,298.77322,-120.60495,1019.22626,299.6853,-120.92352,956.6491,299.76843,-119.70921,944.45374,301.35248,-119.81329,934.3973,303.42737,-119.98827,1038.4791,315.2485,154.78279,915.685,321.74493,163.86058,1002.1612,360.03687,-92.56225,953.1246,362.82388,-91.08271,1119.8815,498.2594,225.28455,826.14954,488.1228,229.83188,1174.957,674.7454,-120.245735,765.0102,686.6313,-55.29369,1191.3984,785.7989,-810.52905,788.2586,791.90967,-611.99805,1211.0994,819.91754,-891.7306,779.489,825.91455,-712.7754,1185.4608,798.2829,-965.5689,798.439,790.24713,-739.6888,1165.7798,787.1479,-840.64496,809.4651,777.0114,-632.05536,1051.9038,797.6128,-10.9654045,880.22766,793.11865,11.581418,1151.9197,743.3526,-534.11743,851.4512,854.25073,-409.87308,1063.1619,917.76294,-628.13574,856.93994,982.537,-662.30804,1034.0385,956.56836,-668.8769,862.94824,1023.3929,-705.1444,1054.286,956.82416,-876.62854,868.4755,1004.68475,-935.07825
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,6,False,977.74304,323.4637,-195.22574,998.31506,298.3777,-123.427765,1009.0765,298.7634,-123.80235,1018.76965,299.649,-124.14681,955.96655,299.76294,-122.051285,943.6791,301.34738,-122.191956,933.7164,303.42645,-122.333176,1037.0342,314.72546,161.44681,915.6776,321.1049,173.45465,1001.67755,358.98193,-97.2225,952.6106,362.45145,-94.903534,1120.1246,498.22675,216.07698,825.4375,488.54016,245.67229,1174.0122,673.2183,-119.73703,763.39154,689.33124,-56.03378,1193.7865,788.12305,-776.50397,789.12354,791.5278,-625.1815,1212.2863,823.2983,-883.6275,780.4706,825.9297,-732.06085,1189.7092,802.62494,-924.9596,798.59686,792.61847,-745.3457,1171.1873,791.4051,-806.4982,809.65686,779.93756,-641.0248,1053.1898,804.40155,-12.382902,880.3867,802.28,13.024641,1156.7655,766.097,-577.2561,856.72473,868.17224,-157.02141,1071.9326,935.05585,-443.9698,860.8358,975.7226,169.62422,1043.7322,965.9561,-448.355,867.72144,1001.9099,181.11713,1067.5536,999.0144,-750.6833,868.09393,1026.5436,-108.97656
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,7,False,977.37225,323.90356,-151.66542,998.0132,298.43515,-87.95316,1008.70276,298.792,-88.2958,1018.4706,299.67947,-88.60532,955.1641,299.86807,-86.828575,942.70795,301.4731,-87.02608,932.7958,303.53333,-87.20203,1036.0964,314.4636,174.48334,915.45233,320.8587,185.38675,1001.4186,358.82178,-59.453976,952.1109,362.45316,-57.46305,1121.3232,498.24405,233.02855,825.4441,488.6807,252.1245,1172.9125,682.55554,-58.6182,760.4835,688.3057,11.832878,1194.6202,762.00806,-654.8432,777.9486,763.5119,-511.53934,1208.7737,792.26025,-770.0254,780.5436,789.6158,-610.8963,1188.0042,764.0916,-787.4598,796.6676,769.44556,-623.8718,1171.5884,754.5455,-674.5371,806.40076,753.0329,-526.28253,1057.9375,811.1986,-12.01817,881.27905,812.0961,12.629231,1158.7734,796.44293,-160.30136,853.76013,901.86444,-86.881165,1079.7944,940.9517,18.131609,867.387,1018.3289,84.91161,1056.9674,964.9126,20.302187,879.0753,1041.8356,85.8384,1076.0114,1004.27576,-209.1133,868.18414,1073.6414,-177.19354
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,8,False,977.30414,324.46036,-210.12567,997.9754,298.6417,-147.67923,1008.6077,298.97656,-148.03125,1018.3994,299.90912,-148.33089,955.05945,300.0024,-148.0237,942.42816,301.52594,-148.25932,932.78674,303.53604,-148.47719,1034.9602,314.3954,121.335236,915.4726,320.05148,123.43393,1001.16693,358.8142,-114.84138,952.0017,362.44644,-114.84361,1122.6348,498.43622,186.25859,825.12524,488.77164,208.52628,1171.9052,696.75287,-70.05507,758.3936,688.79144,-3.0549474,1193.9667,758.00214,-643.72485,767.64667,756.1957,-555.7853,1188.1581,782.2667,-755.5537,766.9568,789.4729,-659.2561,1175.5466,753.8486,-779.16235,771.9916,767.78217,-682.03827,1166.9875,744.8486,-665.04803,789.22784,755.73615,-575.3949,1057.3036,823.77637,-11.103506,881.2449,818.96515,11.689154,1156.0471,879.05756,-55.21957,844.4099,893.08936,-111.06516,1073.7368,969.25555,193.81166,858.8402,1003.7875,135.87683,1054.1278,981.1528,206.12775,870.6499,1025.096,147.70395,1055.3955,1023.5467,5.424489,855.4587,1057.0042,-99.39263
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,9,False,977.43427,324.96167,-204.44972,997.98303,298.66986,-137.78986,1008.6085,298.97717,-138.12608,1018.3969,299.90216,-138.58426,955.07837,300.2005,-138.59969,942.51355,301.66196,-138.80579,932.82556,303.57056,-138.9969,1034.115,313.74796,144.96904,915.939,319.22162,143.997,1001.17206,358.81378,-103.634384,952.0388,362.54977,-104.6329,1123.6614,498.66077,210.94894,824.61237,489.95618,242.02982,1195.321,699.12335,-39.356205,765.162,686.8499,31.105797,1192.0419,753.76526,-602.9236,769.74884,755.2128,-531.4757,1171.5482,772.45337,-718.0645,771.5639,788.94574,-635.3937,1159.534,740.0735,-723.7277,774.34094,759.24316,-651.3342,1150.9214,731.8815,-616.9335,793.3981,747.65027,-549.87665,1058.9275,830.302,-10.512135,881.144,829.30005,11.072047,1151.8325,925.1417,-246.24164,833.0497,929.8982,-190.21266,1054.444,1044.3502,294.00027,849.6001,1071.2933,360.43192,1038.4287,1058.2657,342.20227,863.02405,1092.4949,406.65894,1033.9912,1120.0853,123.02899,842.4981,1156.665,151.23929
bachelorarbeiten/nils/data/videos/samples/drinking_compensation00028.mp4,10,False,977.0827,325.0509,-333.3188,997.84937,298.6766,-283.46268,1008.51953,298.97867,-283.75494,1018.34406,299.91107,-284.47086,954.62683,300.22083,-282.47134,941.81305,301.6652,-282.9298,932.48553,303.55252,-283.30353,1034.0918,313.67368,-20.255041,915.858,318.3851,-14.5856905,1000.97,358.8159,-235.08391,951.53375,362.57248,-232.00932,1124.3922,499.2984,73.27578,824.2604,490.0877,214.91798,1186.0582,730.3568,-83.357086,765.2204,695.17413,-68.155846,1190.951,758.10046,-639.7492,773.481,758.8702,-538.51984,1173.5402,776.5257,-753.0988,782.1099,793.1549,-646.4364,1161.3136,743.3216,-755.50256,788.02594,763.7439,-688.3226,1155.9767,737.16315,-653.3467,798.4459,752.14655,-567.2448,1060.1571,846.8714,-10.896545,880.78656,844.37256,11.82107,1096.7417,1068.7607,-70.37688,836.02167,1041.216,-80.80158,1037.4441,1244.7847,757.7966,827.8094,1244.322,654.0516,1029.4392,1271.8787,833.8119,829.5144,1282.5736,720.57355,1011.6526,1346.2803,601.7344,823.6926,1338.195,448.45715
